Lower layer Super Output Areas Code,Household type (6 categories),Observation
E01002294,Does not apply,0
E01002294,One-person household,162
E01002294,Married or civil partnership couple household,337
E01002294,Cohabiting couple household,80
E01002294,Lone parent household,47
E01002294,Multi-person household,7
E01002295,Does not apply,0
E01002295,One-person household,227
E01002295,Married or civil partnership couple household,335
E01002295,Cohabiting couple household,123
E01002295,Lone parent household,107
E01002295,Multi-person household,14
E01002296,Does not apply,0
E01002296,One-person household,192
E01002296,Married or civil partnership couple household,327
E01002296,Cohabiting couple household,92
E01002296,Lone parent household,75
E01002296,Multi-person household,10
E01002297,Does not apply,0
E01002297,One-person household,243
E01002297,Married or civil partnership couple household,203
E01002297,Cohabiting couple household,84
E01002297,Lone parent household,130
E01002297,Multi-person household,14
E01002298,Does not apply,0
E01002298,One-person household,152
E01002298,Married or civil partnership couple household,270
E01002298,Cohabiting couple household,104
E01002298,Lone parent household,100
E01002298,Multi-person household,18
E01002299,Does not apply,0
E01002299,One-person household,149
E01002299,Married or civil partnership couple household,294
E01002299,Cohabiting couple household,92
E01002299,Lone parent household,103
E01002299,Multi-person household,20
E01002300,Does not apply,0
E01002300,One-person household,233
E01002300,Married or civil partnership couple household,389
E01002300,Cohabiting couple household,115
E01002300,Lone parent household,82
E01002300,Multi-person household,24
E01002301,Does not apply,0
E01002301,One-person household,134
E01002301,Married or civil partnership couple household,324
E01002301,Cohabiting couple household,84
E01002301,Lone parent household,77
E01002301,Multi-person household,5
E01002302,Does not apply,0
E01002302,One-person household,132
E01002302,Married or civil partnership couple household,312
E01002302,Cohabiting couple household,72
E01002302,Lone parent household,102
E01002302,Multi-person household,10
E01002303,Does not apply,0
E01002303,One-person household,200
E01002303,Married or civil partnership couple household,299
E01002303,Cohabiting couple household,90
E01002303,Lone parent household,214
E01002303,Multi-person household,11
E01002304,Does not apply,0
E01002304,One-person household,117
E01002304,Married or civil partnership couple household,276
E01002304,Cohabiting couple household,58
E01002304,Lone parent household,62
E01002304,Multi-person household,16
E01002305,Does not apply,0
E01002305,One-person household,136
E01002305,Married or civil partnership couple household,294
E01002305,Cohabiting couple household,72
E01002305,Lone parent household,108
E01002305,Multi-person household,9
E01002306,Does not apply,0
E01002306,One-person household,144
E01002306,Married or civil partnership couple household,212
E01002306,Cohabiting couple household,105
E01002306,Lone parent household,190
E01002306,Multi-person household,10
E01002307,Does not apply,0
E01002307,One-person household,117
E01002307,Married or civil partnership couple household,303
E01002307,Cohabiting couple household,88
E01002307,Lone parent household,144
E01002307,Multi-person household,16
E01002308,Does not apply,0
E01002308,One-person household,180
E01002308,Married or civil partnership couple household,288
E01002308,Cohabiting couple household,62
E01002308,Lone parent household,130
E01002308,Multi-person household,9
E01002309,Does not apply,0
E01002309,One-person household,170
E01002309,Married or civil partnership couple household,251
E01002309,Cohabiting couple household,91
E01002309,Lone parent household,128
E01002309,Multi-person household,13
E01002310,Does not apply,0
E01002310,One-person household,228
E01002310,Married or civil partnership couple household,256
E01002310,Cohabiting couple household,73
E01002310,Lone parent household,151
E01002310,Multi-person household,23
E01002311,Does not apply,0
E01002311,One-person household,153
E01002311,Married or civil partnership couple household,266
E01002311,Cohabiting couple household,95
E01002311,Lone parent household,147
E01002311,Multi-person household,16
E01002312,Does not apply,0
E01002312,One-person household,219
E01002312,Married or civil partnership couple household,299
E01002312,Cohabiting couple household,75
E01002312,Lone parent household,105
E01002312,Multi-person household,3
E01002313,Does not apply,0
E01002313,One-person household,237
E01002313,Married or civil partnership couple household,336
E01002313,Cohabiting couple household,113
E01002313,Lone parent household,147
E01002313,Multi-person household,19
E01002314,Does not apply,0
E01002314,One-person household,160
E01002314,Married or civil partnership couple household,242
E01002314,Cohabiting couple household,81
E01002314,Lone parent household,151
E01002314,Multi-person household,13
E01002315,Does not apply,0
E01002315,One-person household,161
E01002315,Married or civil partnership couple household,264
E01002315,Cohabiting couple household,70
E01002315,Lone parent household,133
E01002315,Multi-person household,11
E01002316,Does not apply,0
E01002316,One-person household,287
E01002316,Married or civil partnership couple household,206
E01002316,Cohabiting couple household,112
E01002316,Lone parent household,194
E01002316,Multi-person household,15
E01002317,Does not apply,0
E01002317,One-person household,101
E01002317,Married or civil partnership couple household,351
E01002317,Cohabiting couple household,43
E01002317,Lone parent household,54
E01002317,Multi-person household,6
E01002318,Does not apply,0
E01002318,One-person household,121
E01002318,Married or civil partnership couple household,348
E01002318,Cohabiting couple household,76
E01002318,Lone parent household,75
E01002318,Multi-person household,5
E01002319,Does not apply,0
E01002319,One-person household,219
E01002319,Married or civil partnership couple household,307
E01002319,Cohabiting couple household,72
E01002319,Lone parent household,114
E01002319,Multi-person household,19
E01002320,Does not apply,0
E01002320,One-person household,95
E01002320,Married or civil partnership couple household,332
E01002320,Cohabiting couple household,64
E01002320,Lone parent household,41
E01002320,Multi-person household,7
E01002321,Does not apply,0
E01002321,One-person household,176
E01002321,Married or civil partnership couple household,375
E01002321,Cohabiting couple household,73
E01002321,Lone parent household,65
E01002321,Multi-person household,13
E01002322,Does not apply,0
E01002322,One-person household,173
E01002322,Married or civil partnership couple household,360
E01002322,Cohabiting couple household,91
E01002322,Lone parent household,95
E01002322,Multi-person household,12
E01002323,Does not apply,0
E01002323,One-person household,114
E01002323,Married or civil partnership couple household,360
E01002323,Cohabiting couple household,68
E01002323,Lone parent household,74
E01002323,Multi-person household,12
E01002324,Does not apply,0
E01002324,One-person household,218
E01002324,Married or civil partnership couple household,279
E01002324,Cohabiting couple household,62
E01002324,Lone parent household,80
E01002324,Multi-person household,15
E01002325,Does not apply,0
E01002325,One-person household,252
E01002325,Married or civil partnership couple household,296
E01002325,Cohabiting couple household,103
E01002325,Lone parent household,176
E01002325,Multi-person household,9
E01002326,Does not apply,0
E01002326,One-person household,149
E01002326,Married or civil partnership couple household,282
E01002326,Cohabiting couple household,82
E01002326,Lone parent household,118
E01002326,Multi-person household,12
E01002327,Does not apply,0
E01002327,One-person household,140
E01002327,Married or civil partnership couple household,303
E01002327,Cohabiting couple household,58
E01002327,Lone parent household,88
E01002327,Multi-person household,16
E01002328,Does not apply,0
E01002328,One-person household,113
E01002328,Married or civil partnership couple household,344
E01002328,Cohabiting couple household,72
E01002328,Lone parent household,95
E01002328,Multi-person household,17
E01002329,Does not apply,0
E01002329,One-person household,154
E01002329,Married or civil partnership couple household,319
E01002329,Cohabiting couple household,77
E01002329,Lone parent household,77
E01002329,Multi-person household,19
E01002330,Does not apply,0
E01002330,One-person household,191
E01002330,Married or civil partnership couple household,298
E01002330,Cohabiting couple household,73
E01002330,Lone parent household,127
E01002330,Multi-person household,16
E01002331,Does not apply,0
E01002331,One-person household,134
E01002331,Married or civil partnership couple household,306
E01002331,Cohabiting couple household,65
E01002331,Lone parent household,94
E01002331,Multi-person household,10
E01002332,Does not apply,0
E01002332,One-person household,169
E01002332,Married or civil partnership couple household,344
E01002332,Cohabiting couple household,69
E01002332,Lone parent household,99
E01002332,Multi-person household,9
E01002333,Does not apply,0
E01002333,One-person household,128
E01002333,Married or civil partnership couple household,293
E01002333,Cohabiting couple household,45
E01002333,Lone parent household,48
E01002333,Multi-person household,3
E01002334,Does not apply,0
E01002334,One-person household,125
E01002334,Married or civil partnership couple household,406
E01002334,Cohabiting couple household,52
E01002334,Lone parent household,64
E01002334,Multi-person household,16
E01002335,Does not apply,0
E01002335,One-person household,141
E01002335,Married or civil partnership couple household,274
E01002335,Cohabiting couple household,53
E01002335,Lone parent household,94
E01002335,Multi-person household,6
E01002336,Does not apply,0
E01002336,One-person household,136
E01002336,Married or civil partnership couple household,335
E01002336,Cohabiting couple household,59
E01002336,Lone parent household,78
E01002336,Multi-person household,9
E01002337,Does not apply,0
E01002337,One-person household,120
E01002337,Married or civil partnership couple household,308
E01002337,Cohabiting couple household,37
E01002337,Lone parent household,26
E01002337,Multi-person household,6
E01002338,Does not apply,0
E01002338,One-person household,121
E01002338,Married or civil partnership couple household,262
E01002338,Cohabiting couple household,59
E01002338,Lone parent household,58
E01002338,Multi-person household,13
E01002339,Does not apply,0
E01002339,One-person household,106
E01002339,Married or civil partnership couple household,397
E01002339,Cohabiting couple household,39
E01002339,Lone parent household,48
E01002339,Multi-person household,8
E01002340,Does not apply,0
E01002340,One-person household,89
E01002340,Married or civil partnership couple household,310
E01002340,Cohabiting couple household,50
E01002340,Lone parent household,56
E01002340,Multi-person household,6
E01002341,Does not apply,0
E01002341,One-person household,120
E01002341,Married or civil partnership couple household,308
E01002341,Cohabiting couple household,62
E01002341,Lone parent household,50
E01002341,Multi-person household,6
E01002342,Does not apply,0
E01002342,One-person household,172
E01002342,Married or civil partnership couple household,262
E01002342,Cohabiting couple household,68
E01002342,Lone parent household,98
E01002342,Multi-person household,13
E01002343,Does not apply,0
E01002343,One-person household,126
E01002343,Married or civil partnership couple household,345
E01002343,Cohabiting couple household,74
E01002343,Lone parent household,80
E01002343,Multi-person household,10
E01002344,Does not apply,0
E01002344,One-person household,190
E01002344,Married or civil partnership couple household,325
E01002344,Cohabiting couple household,91
E01002344,Lone parent household,119
E01002344,Multi-person household,18
E01002345,Does not apply,0
E01002345,One-person household,218
E01002345,Married or civil partnership couple household,227
E01002345,Cohabiting couple household,124
E01002345,Lone parent household,202
E01002345,Multi-person household,15
E01002346,Does not apply,0
E01002346,One-person household,126
E01002346,Married or civil partnership couple household,224
E01002346,Cohabiting couple household,79
E01002346,Lone parent household,99
E01002346,Multi-person household,23
E01002347,Does not apply,0
E01002347,One-person household,123
E01002347,Married or civil partnership couple household,288
E01002347,Cohabiting couple household,59
E01002347,Lone parent household,65
E01002347,Multi-person household,11
E01002348,Does not apply,0
E01002348,One-person household,184
E01002348,Married or civil partnership couple household,322
E01002348,Cohabiting couple household,77
E01002348,Lone parent household,60
E01002348,Multi-person household,5
E01002349,Does not apply,0
E01002349,One-person household,145
E01002349,Married or civil partnership couple household,302
E01002349,Cohabiting couple household,73
E01002349,Lone parent household,66
E01002349,Multi-person household,9
E01002350,Does not apply,0
E01002350,One-person household,238
E01002350,Married or civil partnership couple household,239
E01002350,Cohabiting couple household,82
E01002350,Lone parent household,99
E01002350,Multi-person household,24
E01002351,Does not apply,0
E01002351,One-person household,174
E01002351,Married or civil partnership couple household,282
E01002351,Cohabiting couple household,108
E01002351,Lone parent household,107
E01002351,Multi-person household,24
E01002352,Does not apply,0
E01002352,One-person household,256
E01002352,Married or civil partnership couple household,296
E01002352,Cohabiting couple household,112
E01002352,Lone parent household,129
E01002352,Multi-person household,15
E01002353,Does not apply,0
E01002353,One-person household,260
E01002353,Married or civil partnership couple household,388
E01002353,Cohabiting couple household,82
E01002353,Lone parent household,99
E01002353,Multi-person household,25
E01002354,Does not apply,0
E01002354,One-person household,146
E01002354,Married or civil partnership couple household,313
E01002354,Cohabiting couple household,50
E01002354,Lone parent household,54
E01002354,Multi-person household,4
E01002355,Does not apply,0
E01002355,One-person household,101
E01002355,Married or civil partnership couple household,324
E01002355,Cohabiting couple household,78
E01002355,Lone parent household,56
E01002355,Multi-person household,10
E01002356,Does not apply,0
E01002356,One-person household,338
E01002356,Married or civil partnership couple household,249
E01002356,Cohabiting couple household,145
E01002356,Lone parent household,182
E01002356,Multi-person household,32
E01002358,Does not apply,0
E01002358,One-person household,242
E01002358,Married or civil partnership couple household,298
E01002358,Cohabiting couple household,159
E01002358,Lone parent household,147
E01002358,Multi-person household,26
E01002359,Does not apply,0
E01002359,One-person household,141
E01002359,Married or civil partnership couple household,286
E01002359,Cohabiting couple household,49
E01002359,Lone parent household,39
E01002359,Multi-person household,6
E01002360,Does not apply,0
E01002360,One-person household,315
E01002360,Married or civil partnership couple household,267
E01002360,Cohabiting couple household,58
E01002360,Lone parent household,74
E01002360,Multi-person household,16
E01002361,Does not apply,0
E01002361,One-person household,312
E01002361,Married or civil partnership couple household,285
E01002361,Cohabiting couple household,127
E01002361,Lone parent household,140
E01002361,Multi-person household,30
E01002362,Does not apply,0
E01002362,One-person household,158
E01002362,Married or civil partnership couple household,333
E01002362,Cohabiting couple household,58
E01002362,Lone parent household,72
E01002362,Multi-person household,6
E01002363,Does not apply,0
E01002363,One-person household,186
E01002363,Married or civil partnership couple household,259
E01002363,Cohabiting couple household,62
E01002363,Lone parent household,111
E01002363,Multi-person household,8
E01002364,Does not apply,0
E01002364,One-person household,131
E01002364,Married or civil partnership couple household,298
E01002364,Cohabiting couple household,60
E01002364,Lone parent household,43
E01002364,Multi-person household,7
E01002365,Does not apply,0
E01002365,One-person household,145
E01002365,Married or civil partnership couple household,247
E01002365,Cohabiting couple household,56
E01002365,Lone parent household,74
E01002365,Multi-person household,12
E01002366,Does not apply,0
E01002366,One-person household,122
E01002366,Married or civil partnership couple household,292
E01002366,Cohabiting couple household,81
E01002366,Lone parent household,62
E01002366,Multi-person household,8
E01002367,Does not apply,0
E01002367,One-person household,182
E01002367,Married or civil partnership couple household,315
E01002367,Cohabiting couple household,101
E01002367,Lone parent household,85
E01002367,Multi-person household,21
E01002368,Does not apply,0
E01002368,One-person household,306
E01002368,Married or civil partnership couple household,301
E01002368,Cohabiting couple household,121
E01002368,Lone parent household,225
E01002368,Multi-person household,30
E01002369,Does not apply,0
E01002369,One-person household,164
E01002369,Married or civil partnership couple household,337
E01002369,Cohabiting couple household,77
E01002369,Lone parent household,140
E01002369,Multi-person household,22
E01002370,Does not apply,0
E01002370,One-person household,200
E01002370,Married or civil partnership couple household,350
E01002370,Cohabiting couple household,125
E01002370,Lone parent household,174
E01002370,Multi-person household,16
E01002371,Does not apply,0
E01002371,One-person household,164
E01002371,Married or civil partnership couple household,319
E01002371,Cohabiting couple household,53
E01002371,Lone parent household,96
E01002371,Multi-person household,22
E01002372,Does not apply,0
E01002372,One-person household,141
E01002372,Married or civil partnership couple household,321
E01002372,Cohabiting couple household,64
E01002372,Lone parent household,80
E01002372,Multi-person household,7
E01002373,Does not apply,0
E01002373,One-person household,143
E01002373,Married or civil partnership couple household,309
E01002373,Cohabiting couple household,70
E01002373,Lone parent household,88
E01002373,Multi-person household,15
E01002374,Does not apply,0
E01002374,One-person household,154
E01002374,Married or civil partnership couple household,278
E01002374,Cohabiting couple household,74
E01002374,Lone parent household,115
E01002374,Multi-person household,12
E01002375,Does not apply,0
E01002375,One-person household,179
E01002375,Married or civil partnership couple household,252
E01002375,Cohabiting couple household,108
E01002375,Lone parent household,139
E01002375,Multi-person household,11
E01002376,Does not apply,0
E01002376,One-person household,78
E01002376,Married or civil partnership couple household,345
E01002376,Cohabiting couple household,52
E01002376,Lone parent household,45
E01002376,Multi-person household,6
E01002377,Does not apply,0
E01002377,One-person household,238
E01002377,Married or civil partnership couple household,320
E01002377,Cohabiting couple household,108
E01002377,Lone parent household,67
E01002377,Multi-person household,14
E01002378,Does not apply,0
E01002378,One-person household,96
E01002378,Married or civil partnership couple household,358
E01002378,Cohabiting couple household,69
E01002378,Lone parent household,70
E01002378,Multi-person household,9
E01002379,Does not apply,0
E01002379,One-person household,188
E01002379,Married or civil partnership couple household,305
E01002379,Cohabiting couple household,80
E01002379,Lone parent household,75
E01002379,Multi-person household,20
E01002380,Does not apply,0
E01002380,One-person household,419
E01002380,Married or civil partnership couple household,307
E01002380,Cohabiting couple household,150
E01002380,Lone parent household,158
E01002380,Multi-person household,35
E01002381,Does not apply,0
E01002381,One-person household,164
E01002381,Married or civil partnership couple household,286
E01002381,Cohabiting couple household,65
E01002381,Lone parent household,110
E01002381,Multi-person household,10
E01002382,Does not apply,0
E01002382,One-person household,203
E01002382,Married or civil partnership couple household,326
E01002382,Cohabiting couple household,104
E01002382,Lone parent household,101
E01002382,Multi-person household,18
E01002383,Does not apply,0
E01002383,One-person household,141
E01002383,Married or civil partnership couple household,352
E01002383,Cohabiting couple household,71
E01002383,Lone parent household,72
E01002383,Multi-person household,16
E01002384,Does not apply,0
E01002384,One-person household,196
E01002384,Married or civil partnership couple household,339
E01002384,Cohabiting couple household,70
E01002384,Lone parent household,63
E01002384,Multi-person household,9
E01002385,Does not apply,0
E01002385,One-person household,121
E01002385,Married or civil partnership couple household,350
E01002385,Cohabiting couple household,69
E01002385,Lone parent household,55
E01002385,Multi-person household,5
E01002386,Does not apply,0
E01002386,One-person household,296
E01002386,Married or civil partnership couple household,362
E01002386,Cohabiting couple household,126
E01002386,Lone parent household,108
E01002386,Multi-person household,23
E01002387,Does not apply,0
E01002387,One-person household,112
E01002387,Married or civil partnership couple household,402
E01002387,Cohabiting couple household,50
E01002387,Lone parent household,35
E01002387,Multi-person household,5
E01002388,Does not apply,0
E01002388,One-person household,98
E01002388,Married or civil partnership couple household,417
E01002388,Cohabiting couple household,45
E01002388,Lone parent household,34
E01002388,Multi-person household,3
E01002389,Does not apply,0
E01002389,One-person household,123
E01002389,Married or civil partnership couple household,411
E01002389,Cohabiting couple household,40
E01002389,Lone parent household,31
E01002389,Multi-person household,10
E01002390,Does not apply,0
E01002390,One-person household,68
E01002390,Married or civil partnership couple household,378
E01002390,Cohabiting couple household,37
E01002390,Lone parent household,35
E01002390,Multi-person household,8
E01002391,Does not apply,0
E01002391,One-person household,139
E01002391,Married or civil partnership couple household,364
E01002391,Cohabiting couple household,65
E01002391,Lone parent household,53
E01002391,Multi-person household,8
E01002392,Does not apply,0
E01002392,One-person household,133
E01002392,Married or civil partnership couple household,235
E01002392,Cohabiting couple household,57
E01002392,Lone parent household,169
E01002392,Multi-person household,17
E01002393,Does not apply,0
E01002393,One-person household,143
E01002393,Married or civil partnership couple household,333
E01002393,Cohabiting couple household,65
E01002393,Lone parent household,157
E01002393,Multi-person household,24
E01002394,Does not apply,0
E01002394,One-person household,90
E01002394,Married or civil partnership couple household,300
E01002394,Cohabiting couple household,38
E01002394,Lone parent household,76
E01002394,Multi-person household,15
E01002395,Does not apply,0
E01002395,One-person household,75
E01002395,Married or civil partnership couple household,259
E01002395,Cohabiting couple household,25
E01002395,Lone parent household,62
E01002395,Multi-person household,12
E01002396,Does not apply,0
E01002396,One-person household,132
E01002396,Married or civil partnership couple household,298
E01002396,Cohabiting couple household,23
E01002396,Lone parent household,103
E01002396,Multi-person household,20
E01002397,Does not apply,0
E01002397,One-person household,90
E01002397,Married or civil partnership couple household,317
E01002397,Cohabiting couple household,32
E01002397,Lone parent household,82
E01002397,Multi-person household,55
E01002398,Does not apply,0
E01002398,One-person household,71
E01002398,Married or civil partnership couple household,335
E01002398,Cohabiting couple household,25
E01002398,Lone parent household,61
E01002398,Multi-person household,19
E01002399,Does not apply,0
E01002399,One-person household,72
E01002399,Married or civil partnership couple household,318
E01002399,Cohabiting couple household,21
E01002399,Lone parent household,68
E01002399,Multi-person household,14
E01002400,Does not apply,0
E01002400,One-person household,131
E01002400,Married or civil partnership couple household,320
E01002400,Cohabiting couple household,59
E01002400,Lone parent household,105
E01002400,Multi-person household,23
E01002401,Does not apply,0
E01002401,One-person household,159
E01002401,Married or civil partnership couple household,377
E01002401,Cohabiting couple household,64
E01002401,Lone parent household,145
E01002401,Multi-person household,17
E01002402,Does not apply,0
E01002402,One-person household,78
E01002402,Married or civil partnership couple household,266
E01002402,Cohabiting couple household,59
E01002402,Lone parent household,97
E01002402,Multi-person household,13
E01002403,Does not apply,0
E01002403,One-person household,126
E01002403,Married or civil partnership couple household,394
E01002403,Cohabiting couple household,61
E01002403,Lone parent household,132
E01002403,Multi-person household,18
E01002404,Does not apply,0
E01002404,One-person household,167
E01002404,Married or civil partnership couple household,294
E01002404,Cohabiting couple household,54
E01002404,Lone parent household,149
E01002404,Multi-person household,14
E01002405,Does not apply,0
E01002405,One-person household,151
E01002405,Married or civil partnership couple household,306
E01002405,Cohabiting couple household,63
E01002405,Lone parent household,108
E01002405,Multi-person household,18
E01002408,Does not apply,0
E01002408,One-person household,222
E01002408,Married or civil partnership couple household,215
E01002408,Cohabiting couple household,70
E01002408,Lone parent household,125
E01002408,Multi-person household,30
E01002409,Does not apply,0
E01002409,One-person household,162
E01002409,Married or civil partnership couple household,328
E01002409,Cohabiting couple household,60
E01002409,Lone parent household,128
E01002409,Multi-person household,22
E01002410,Does not apply,0
E01002410,One-person household,167
E01002410,Married or civil partnership couple household,358
E01002410,Cohabiting couple household,53
E01002410,Lone parent household,84
E01002410,Multi-person household,19
E01002411,Does not apply,0
E01002411,One-person household,156
E01002411,Married or civil partnership couple household,298
E01002411,Cohabiting couple household,76
E01002411,Lone parent household,113
E01002411,Multi-person household,69
E01002412,Does not apply,0
E01002412,One-person household,179
E01002412,Married or civil partnership couple household,398
E01002412,Cohabiting couple household,82
E01002412,Lone parent household,94
E01002412,Multi-person household,42
E01002413,Does not apply,0
E01002413,One-person household,159
E01002413,Married or civil partnership couple household,229
E01002413,Cohabiting couple household,54
E01002413,Lone parent household,132
E01002413,Multi-person household,25
E01002414,Does not apply,0
E01002414,One-person household,182
E01002414,Married or civil partnership couple household,184
E01002414,Cohabiting couple household,56
E01002414,Lone parent household,60
E01002414,Multi-person household,49
E01002415,Does not apply,0
E01002415,One-person household,137
E01002415,Married or civil partnership couple household,353
E01002415,Cohabiting couple household,64
E01002415,Lone parent household,72
E01002415,Multi-person household,16
E01002416,Does not apply,0
E01002416,One-person household,92
E01002416,Married or civil partnership couple household,366
E01002416,Cohabiting couple household,58
E01002416,Lone parent household,68
E01002416,Multi-person household,9
E01002417,Does not apply,0
E01002417,One-person household,217
E01002417,Married or civil partnership couple household,371
E01002417,Cohabiting couple household,72
E01002417,Lone parent household,70
E01002417,Multi-person household,19
E01002418,Does not apply,0
E01002418,One-person household,144
E01002418,Married or civil partnership couple household,360
E01002418,Cohabiting couple household,64
E01002418,Lone parent household,78
E01002418,Multi-person household,11
E01002419,Does not apply,0
E01002419,One-person household,145
E01002419,Married or civil partnership couple household,369
E01002419,Cohabiting couple household,48
E01002419,Lone parent household,71
E01002419,Multi-person household,11
E01002420,Does not apply,0
E01002420,One-person household,193
E01002420,Married or civil partnership couple household,307
E01002420,Cohabiting couple household,66
E01002420,Lone parent household,89
E01002420,Multi-person household,14
E01002421,Does not apply,0
E01002421,One-person household,134
E01002421,Married or civil partnership couple household,348
E01002421,Cohabiting couple household,65
E01002421,Lone parent household,69
E01002421,Multi-person household,12
E01002422,Does not apply,0
E01002422,One-person household,85
E01002422,Married or civil partnership couple household,280
E01002422,Cohabiting couple household,44
E01002422,Lone parent household,69
E01002422,Multi-person household,18
E01002423,Does not apply,0
E01002423,One-person household,132
E01002423,Married or civil partnership couple household,352
E01002423,Cohabiting couple household,46
E01002423,Lone parent household,61
E01002423,Multi-person household,13
E01002424,Does not apply,0
E01002424,One-person household,89
E01002424,Married or civil partnership couple household,313
E01002424,Cohabiting couple household,38
E01002424,Lone parent household,85
E01002424,Multi-person household,9
E01002425,Does not apply,0
E01002425,One-person household,169
E01002425,Married or civil partnership couple household,272
E01002425,Cohabiting couple household,56
E01002425,Lone parent household,96
E01002425,Multi-person household,8
E01002426,Does not apply,0
E01002426,One-person household,100
E01002426,Married or civil partnership couple household,415
E01002426,Cohabiting couple household,41
E01002426,Lone parent household,88
E01002426,Multi-person household,9
E01002427,Does not apply,0
E01002427,One-person household,112
E01002427,Married or civil partnership couple household,288
E01002427,Cohabiting couple household,34
E01002427,Lone parent household,71
E01002427,Multi-person household,11
E01002428,Does not apply,0
E01002428,One-person household,91
E01002428,Married or civil partnership couple household,292
E01002428,Cohabiting couple household,37
E01002428,Lone parent household,77
E01002428,Multi-person household,15
E01002429,Does not apply,0
E01002429,One-person household,133
E01002429,Married or civil partnership couple household,230
E01002429,Cohabiting couple household,53
E01002429,Lone parent household,98
E01002429,Multi-person household,9
E01002430,Does not apply,0
E01002430,One-person household,93
E01002430,Married or civil partnership couple household,363
E01002430,Cohabiting couple household,30
E01002430,Lone parent household,33
E01002430,Multi-person household,4
E01002431,Does not apply,0
E01002431,One-person household,85
E01002431,Married or civil partnership couple household,329
E01002431,Cohabiting couple household,25
E01002431,Lone parent household,37
E01002431,Multi-person household,11
E01002432,Does not apply,0
E01002432,One-person household,187
E01002432,Married or civil partnership couple household,317
E01002432,Cohabiting couple household,55
E01002432,Lone parent household,51
E01002432,Multi-person household,25
E01002433,Does not apply,0
E01002433,One-person household,306
E01002433,Married or civil partnership couple household,442
E01002433,Cohabiting couple household,97
E01002433,Lone parent household,151
E01002433,Multi-person household,16
E01002434,Does not apply,0
E01002434,One-person household,88
E01002434,Married or civil partnership couple household,334
E01002434,Cohabiting couple household,33
E01002434,Lone parent household,32
E01002434,Multi-person household,4
E01002435,Does not apply,0
E01002435,One-person household,133
E01002435,Married or civil partnership couple household,359
E01002435,Cohabiting couple household,35
E01002435,Lone parent household,38
E01002435,Multi-person household,8
E01002436,Does not apply,0
E01002436,One-person household,188
E01002436,Married or civil partnership couple household,338
E01002436,Cohabiting couple household,57
E01002436,Lone parent household,85
E01002436,Multi-person household,7
E01002437,Does not apply,0
E01002437,One-person household,159
E01002437,Married or civil partnership couple household,381
E01002437,Cohabiting couple household,16
E01002437,Lone parent household,28
E01002437,Multi-person household,6
E01002438,Does not apply,0
E01002438,One-person household,135
E01002438,Married or civil partnership couple household,288
E01002438,Cohabiting couple household,73
E01002438,Lone parent household,59
E01002438,Multi-person household,7
E01002439,Does not apply,0
E01002439,One-person household,191
E01002439,Married or civil partnership couple household,243
E01002439,Cohabiting couple household,81
E01002439,Lone parent household,95
E01002439,Multi-person household,12
E01002440,Does not apply,0
E01002440,One-person household,178
E01002440,Married or civil partnership couple household,261
E01002440,Cohabiting couple household,89
E01002440,Lone parent household,97
E01002440,Multi-person household,8
E01002441,Does not apply,0
E01002441,One-person household,265
E01002441,Married or civil partnership couple household,252
E01002441,Cohabiting couple household,87
E01002441,Lone parent household,92
E01002441,Multi-person household,12
E01002442,Does not apply,0
E01002442,One-person household,172
E01002442,Married or civil partnership couple household,266
E01002442,Cohabiting couple household,115
E01002442,Lone parent household,82
E01002442,Multi-person household,17
E01002443,Does not apply,0
E01002443,One-person household,149
E01002443,Married or civil partnership couple household,333
E01002443,Cohabiting couple household,81
E01002443,Lone parent household,94
E01002443,Multi-person household,27
E01002444,Does not apply,0
E01002444,One-person household,204
E01002444,Married or civil partnership couple household,299
E01002444,Cohabiting couple household,52
E01002444,Lone parent household,77
E01002444,Multi-person household,34
E01002445,Does not apply,0
E01002445,One-person household,156
E01002445,Married or civil partnership couple household,220
E01002445,Cohabiting couple household,71
E01002445,Lone parent household,159
E01002445,Multi-person household,20
E01002446,Does not apply,0
E01002446,One-person household,139
E01002446,Married or civil partnership couple household,306
E01002446,Cohabiting couple household,69
E01002446,Lone parent household,90
E01002446,Multi-person household,27
E01002447,Does not apply,0
E01002447,One-person household,162
E01002447,Married or civil partnership couple household,309
E01002447,Cohabiting couple household,97
E01002447,Lone parent household,116
E01002447,Multi-person household,34
E01002448,Does not apply,0
E01002448,One-person household,206
E01002448,Married or civil partnership couple household,360
E01002448,Cohabiting couple household,72
E01002448,Lone parent household,102
E01002448,Multi-person household,25
E01002449,Does not apply,0
E01002449,One-person household,175
E01002449,Married or civil partnership couple household,358
E01002449,Cohabiting couple household,64
E01002449,Lone parent household,101
E01002449,Multi-person household,35
E01002450,Does not apply,0
E01002450,One-person household,75
E01002450,Married or civil partnership couple household,293
E01002450,Cohabiting couple household,61
E01002450,Lone parent household,59
E01002450,Multi-person household,9
E01002451,Does not apply,0
E01002451,One-person household,73
E01002451,Married or civil partnership couple household,300
E01002451,Cohabiting couple household,41
E01002451,Lone parent household,76
E01002451,Multi-person household,11
E01002452,Does not apply,0
E01002452,One-person household,90
E01002452,Married or civil partnership couple household,308
E01002452,Cohabiting couple household,40
E01002452,Lone parent household,61
E01002452,Multi-person household,14
E01002453,Does not apply,0
E01002453,One-person household,120
E01002453,Married or civil partnership couple household,344
E01002453,Cohabiting couple household,62
E01002453,Lone parent household,83
