Lower layer Super Output Areas Code,Car or van availability (3 categories),Observation
E01002856,1 or more cars or vans in household,232
E01002857,Does not apply,0
E01002857,No cars or vans in household,366
E01002857,1 or more cars or vans in household,189
E01002858,Does not apply,0
E01002858,No cars or vans in household,460
E01002858,1 or more cars or vans in household,179
E01002859,Does not apply,0
E01002859,No cars or vans in household,382
E01002859,1 or more cars or vans in household,279
E01002860,Does not apply,0
E01002860,No cars or vans in household,251
E01002860,1 or more cars or vans in household,321
E01002861,Does not apply,0
E01002861,No cars or vans in household,298
E01002861,1 or more cars or vans in household,254
E01002862,Does not apply,0
E01002862,No cars or vans in household,540
E01002862,1 or more cars or vans in household,174
E01002863,Does not apply,0
E01002863,No cars or vans in household,287
E01002863,1 or more cars or vans in household,268
E01002864,Does not apply,0
E01002864,No cars or vans in household,184
E01002864,1 or more cars or vans in household,348
E01002865,Does not apply,0
E01002865,No cars or vans in household,238
E01002865,1 or more cars or vans in household,324
E01002866,Does not apply,0
E01002866,No cars or vans in household,463
E01002866,1 or more cars or vans in household,303
E01002867,Does not apply,0
E01002867,No cars or vans in household,479
E01002867,1 or more cars or vans in household,331
E01002868,Does not apply,0
E01002868,No cars or vans in household,160
E01002868,1 or more cars or vans in household,369
E01002869,Does not apply,0
E01002869,No cars or vans in household,444
E01002869,1 or more cars or vans in household,305
E01002870,Does not apply,0
E01002870,No cars or vans in household,449
E01002870,1 or more cars or vans in household,241
E01002871,Does not apply,0
E01002871,No cars or vans in household,252
E01002871,1 or more cars or vans in household,393
E01002872,Does not apply,0
E01002872,No cars or vans in household,399
E01002872,1 or more cars or vans in household,255
E01002873,Does not apply,0
E01002873,No cars or vans in household,339
E01002873,1 or more cars or vans in household,317
E01002874,Does not apply,0
E01002874,No cars or vans in household,339
E01002874,1 or more cars or vans in household,249
E01002875,Does not apply,0
E01002875,No cars or vans in household,255
E01002875,1 or more cars or vans in household,323
E01002876,Does not apply,0
E01002876,No cars or vans in household,258
E01002876,1 or more cars or vans in household,435
E01002877,Does not apply,0
E01002877,No cars or vans in household,409
E01002877,1 or more cars or vans in household,351
E01002878,Does not apply,0
E01002878,No cars or vans in household,494
E01002878,1 or more cars or vans in household,260
E01002879,Does not apply,0
E01002879,No cars or vans in household,429
E01002879,1 or more cars or vans in household,273
E01002880,Does not apply,0
E01002880,No cars or vans in household,298
E01002880,1 or more cars or vans in household,156
E01002881,Does not apply,0
E01002881,No cars or vans in household,293
E01002881,1 or more cars or vans in household,218
E01002882,Does not apply,0
E01002882,No cars or vans in household,332
E01002882,1 or more cars or vans in household,227
E01002883,Does not apply,0
E01002883,No cars or vans in household,341
E01002883,1 or more cars or vans in household,308
E01002884,Does not apply,0
E01002884,No cars or vans in household,425
E01002884,1 or more cars or vans in household,169
E01002885,Does not apply,0
E01002885,No cars or vans in household,597
E01002885,1 or more cars or vans in household,208
E01002886,Does not apply,0
E01002886,No cars or vans in household,361
E01002886,1 or more cars or vans in household,303
E01002887,Does not apply,0
E01002887,No cars or vans in household,359
E01002887,1 or more cars or vans in household,190
E01002888,Does not apply,0
E01002888,No cars or vans in household,555
E01002888,1 or more cars or vans in household,271
E01002889,Does not apply,0
E01002889,No cars or vans in household,274
E01002889,1 or more cars or vans in household,291
E01002890,Does not apply,0
E01002890,No cars or vans in household,214
E01002890,1 or more cars or vans in household,351
E01002891,Does not apply,0
E01002891,No cars or vans in household,302
E01002891,1 or more cars or vans in household,257
E01002892,Does not apply,0
E01002892,No cars or vans in household,383
E01002892,1 or more cars or vans in household,257
E01002893,Does not apply,0
E01002893,No cars or vans in household,614
E01002893,1 or more cars or vans in household,290
E01002894,Does not apply,0
E01002894,No cars or vans in household,436
E01002894,1 or more cars or vans in household,218
E01002896,Does not apply,0
E01002896,No cars or vans in household,387
E01002896,1 or more cars or vans in household,370
E01002897,Does not apply,0
E01002897,No cars or vans in household,404
E01002897,1 or more cars or vans in household,293
E01002898,Does not apply,0
E01002898,No cars or vans in household,313
E01002898,1 or more cars or vans in household,361
E01002899,Does not apply,0
E01002899,No cars or vans in household,395
E01002899,1 or more cars or vans in household,241
E01002900,Does not apply,0
E01002900,No cars or vans in household,201
E01002900,1 or more cars or vans in household,364
E01002901,Does not apply,0
E01002901,No cars or vans in household,221
E01002901,1 or more cars or vans in household,219
E01002902,Does not apply,0
E01002902,No cars or vans in household,427
E01002902,1 or more cars or vans in household,286
E01002903,Does not apply,0
E01002903,No cars or vans in household,180
E01002903,1 or more cars or vans in household,386
E01002904,Does not apply,0
E01002904,No cars or vans in household,270
E01002904,1 or more cars or vans in household,227
E01002905,Does not apply,0
E01002905,No cars or vans in household,384
E01002905,1 or more cars or vans in household,270
E01002906,Does not apply,0
E01002906,No cars or vans in household,317
E01002906,1 or more cars or vans in household,328
E01002907,Does not apply,0
E01002907,No cars or vans in household,315
E01002907,1 or more cars or vans in household,200
E01002908,Does not apply,0
E01002908,No cars or vans in household,275
E01002908,1 or more cars or vans in household,317
E01002909,Does not apply,0
E01002909,No cars or vans in household,592
E01002909,1 or more cars or vans in household,428
E01002910,Does not apply,0
E01002910,No cars or vans in household,343
E01002910,1 or more cars or vans in household,290
E01002911,Does not apply,0
E01002911,No cars or vans in household,233
E01002911,1 or more cars or vans in household,362
E01002912,Does not apply,0
E01002912,No cars or vans in household,412
E01002912,1 or more cars or vans in household,272
E01002913,Does not apply,0
E01002913,No cars or vans in household,421
E01002913,1 or more cars or vans in household,394
E01002914,Does not apply,0
E01002914,No cars or vans in household,287
E01002914,1 or more cars or vans in household,285
E01002915,Does not apply,0
E01002915,No cars or vans in household,53
E01002915,1 or more cars or vans in household,432
E01002916,Does not apply,0
E01002916,No cars or vans in household,77
E01002916,1 or more cars or vans in household,455
E01002917,Does not apply,0
E01002917,No cars or vans in household,45
E01002917,1 or more cars or vans in household,449
E01002918,Does not apply,0
E01002918,No cars or vans in household,97
E01002918,1 or more cars or vans in household,512
E01002919,Does not apply,0
E01002919,No cars or vans in household,234
E01002919,1 or more cars or vans in household,565
E01002920,Does not apply,0
E01002920,No cars or vans in household,63
E01002920,1 or more cars or vans in household,524
E01002921,Does not apply,0
E01002921,No cars or vans in household,423
E01002921,1 or more cars or vans in household,481
E01002922,Does not apply,0
E01002922,No cars or vans in household,163
E01002922,1 or more cars or vans in household,553
E01002923,Does not apply,0
E01002923,No cars or vans in household,434
E01002923,1 or more cars or vans in household,424
E01002924,Does not apply,0
E01002924,No cars or vans in household,67
E01002924,1 or more cars or vans in household,486
E01002925,Does not apply,0
E01002925,No cars or vans in household,264
E01002925,1 or more cars or vans in household,532
E01002926,Does not apply,0
E01002926,No cars or vans in household,98
E01002926,1 or more cars or vans in household,501
E01002927,Does not apply,0
E01002927,No cars or vans in household,161
E01002927,1 or more cars or vans in household,480
E01002928,Does not apply,0
E01002928,No cars or vans in household,250
E01002928,1 or more cars or vans in household,495
E01002929,Does not apply,0
E01002929,No cars or vans in household,135
E01002929,1 or more cars or vans in household,535
E01002930,Does not apply,0
E01002930,No cars or vans in household,276
E01002930,1 or more cars or vans in household,520
E01002931,Does not apply,0
E01002931,No cars or vans in household,169
E01002931,1 or more cars or vans in household,553
E01002932,Does not apply,0
E01002932,No cars or vans in household,223
E01002932,1 or more cars or vans in household,451
E01002933,Does not apply,0
E01002933,No cars or vans in household,262
E01002933,1 or more cars or vans in household,546
E01002934,Does not apply,0
E01002934,No cars or vans in household,93
E01002934,1 or more cars or vans in household,567
E01002935,Does not apply,0
E01002935,No cars or vans in household,298
E01002935,1 or more cars or vans in household,513
E01002937,Does not apply,0
E01002937,No cars or vans in household,144
E01002937,1 or more cars or vans in household,519
E01002938,Does not apply,0
E01002938,No cars or vans in household,174
E01002938,1 or more cars or vans in household,610
E01002939,Does not apply,0
E01002939,No cars or vans in household,102
E01002939,1 or more cars or vans in household,497
E01002940,Does not apply,0
E01002940,No cars or vans in household,122
E01002940,1 or more cars or vans in household,493
E01002941,Does not apply,0
E01002941,No cars or vans in household,126
E01002941,1 or more cars or vans in household,513
E01002942,Does not apply,0
E01002942,No cars or vans in household,79
E01002942,1 or more cars or vans in household,447
E01002943,Does not apply,0
E01002943,No cars or vans in household,86
E01002943,1 or more cars or vans in household,424
E01002944,Does not apply,0
E01002944,No cars or vans in household,88
E01002944,1 or more cars or vans in household,441
E01002945,Does not apply,0
E01002945,No cars or vans in household,103
E01002945,1 or more cars or vans in household,537
E01002946,Does not apply,0
E01002946,No cars or vans in household,74
E01002946,1 or more cars or vans in household,531
E01002947,Does not apply,0
E01002947,No cars or vans in household,53
E01002947,1 or more cars or vans in household,562
E01002948,Does not apply,0
E01002948,No cars or vans in household,118
E01002948,1 or more cars or vans in household,704
E01002949,Does not apply,0
E01002949,No cars or vans in household,83
E01002949,1 or more cars or vans in household,603
E01002950,Does not apply,0
E01002950,No cars or vans in household,180
E01002950,1 or more cars or vans in household,532
E01002951,Does not apply,0
E01002951,No cars or vans in household,109
E01002951,1 or more cars or vans in household,470
E01002952,Does not apply,0
E01002952,No cars or vans in household,30
E01002952,1 or more cars or vans in household,439
E01002953,Does not apply,0
E01002953,No cars or vans in household,59
E01002953,1 or more cars or vans in household,379
E01002954,Does not apply,0
E01002954,No cars or vans in household,298
E01002954,1 or more cars or vans in household,332
E01002955,Does not apply,0
E01002955,No cars or vans in household,100
E01002955,1 or more cars or vans in household,431
E01002956,Does not apply,0
E01002956,No cars or vans in household,47
E01002956,1 or more cars or vans in household,391
E01002957,Does not apply,0
E01002957,No cars or vans in household,221
E01002957,1 or more cars or vans in household,353
E01002958,Does not apply,0
E01002958,No cars or vans in household,113
E01002958,1 or more cars or vans in household,538
E01002959,Does not apply,0
E01002959,No cars or vans in household,25
E01002959,1 or more cars or vans in household,446
E01002960,Does not apply,0
E01002960,No cars or vans in household,123
E01002960,1 or more cars or vans in household,460
E01002961,Does not apply,0
E01002961,No cars or vans in household,73
E01002961,1 or more cars or vans in household,525
E01002962,Does not apply,0
E01002962,No cars or vans in household,106
E01002962,1 or more cars or vans in household,423
E01002963,Does not apply,0
E01002963,No cars or vans in household,275
E01002963,1 or more cars or vans in household,498
E01002964,Does not apply,0
E01002964,No cars or vans in household,515
E01002964,1 or more cars or vans in household,536
E01002965,Does not apply,0
E01002965,No cars or vans in household,462
E01002965,1 or more cars or vans in household,682
E01002966,Does not apply,0
E01002966,No cars or vans in household,207
E01002966,1 or more cars or vans in household,572
E01002967,Does not apply,0
E01002967,No cars or vans in household,323
E01002967,1 or more cars or vans in household,629
E01002968,Does not apply,0
E01002968,No cars or vans in household,528
E01002968,1 or more cars or vans in household,621
E01002969,Does not apply,0
E01002969,No cars or vans in household,335
E01002969,1 or more cars or vans in household,323
E01002970,Does not apply,0
E01002970,No cars or vans in household,213
E01002970,1 or more cars or vans in household,430
E01002971,Does not apply,0
E01002971,No cars or vans in household,204
E01002971,1 or more cars or vans in household,525
E01002972,Does not apply,0
E01002972,No cars or vans in household,423
E01002972,1 or more cars or vans in household,468
E01002973,Does not apply,0
E01002973,No cars or vans in household,144
E01002973,1 or more cars or vans in household,381
E01002974,Does not apply,0
E01002974,No cars or vans in household,241
E01002974,1 or more cars or vans in household,477
E01002975,Does not apply,0
E01002975,No cars or vans in household,79
E01002975,1 or more cars or vans in household,421
E01002976,Does not apply,0
E01002976,No cars or vans in household,98
E01002976,1 or more cars or vans in household,550
E01002977,Does not apply,0
E01002977,No cars or vans in household,151
E01002977,1 or more cars or vans in household,497
E01002978,Does not apply,0
E01002978,No cars or vans in household,117
E01002978,1 or more cars or vans in household,605
E01002979,Does not apply,0
E01002979,No cars or vans in household,77
E01002979,1 or more cars or vans in household,521
E01002980,Does not apply,0
E01002980,No cars or vans in household,39
E01002980,1 or more cars or vans in household,440
E01002981,Does not apply,0
E01002981,No cars or vans in household,60
E01002981,1 or more cars or vans in household,463
E01002982,Does not apply,0
E01002982,No cars or vans in household,69
E01002982,1 or more cars or vans in household,447
E01002983,Does not apply,0
E01002983,No cars or vans in household,55
E01002983,1 or more cars or vans in household,541
E01002984,Does not apply,0
E01002984,No cars or vans in household,159
E01002984,1 or more cars or vans in household,427
E01002985,Does not apply,0
E01002985,No cars or vans in household,148
E01002985,1 or more cars or vans in household,449
E01002986,Does not apply,0
E01002986,No cars or vans in household,70
E01002986,1 or more cars or vans in household,407
E01002987,Does not apply,0
E01002987,No cars or vans in household,441
E01002987,1 or more cars or vans in household,515
E01002988,Does not apply,0
E01002988,No cars or vans in household,216
E01002988,1 or more cars or vans in household,412
E01002989,Does not apply,0
E01002989,No cars or vans in household,286
E01002989,1 or more cars or vans in household,631
E01002990,Does not apply,0
E01002990,No cars or vans in household,348
E01002990,1 or more cars or vans in household,539
E01002991,Does not apply,0
E01002991,No cars or vans in household,186
E01002991,1 or more cars or vans in household,494
E01002992,Does not apply,0
E01002992,No cars or vans in household,128
E01002992,1 or more cars or vans in household,360
E01002993,Does not apply,0
E01002993,No cars or vans in household,313
E01002993,1 or more cars or vans in household,502
E01002994,Does not apply,0
E01002994,No cars or vans in household,93
E01002994,1 or more cars or vans in household,505
E01002995,Does not apply,0
E01002995,No cars or vans in household,120
E01002995,1 or more cars or vans in household,514
E01002996,Does not apply,0
E01002996,No cars or vans in household,116
E01002996,1 or more cars or vans in household,476
E01002997,Does not apply,0
E01002997,No cars or vans in household,108
E01002997,1 or more cars or vans in household,497
E01002998,Does not apply,0
E01002998,No cars or vans in household,150
E01002998,1 or more cars or vans in household,451
E01002999,Does not apply,0
E01002999,No cars or vans in household,309
E01002999,1 or more cars or vans in household,458
E01003000,Does not apply,0
E01003000,No cars or vans in household,107
E01003000,1 or more cars or vans in household,565
E01003001,Does not apply,0
E01003001,No cars or vans in household,91
E01003001,1 or more cars or vans in household,545
E01003002,Does not apply,0
E01003002,No cars or vans in household,202
E01003002,1 or more cars or vans in household,598
E01003003,Does not apply,0
E01003003,No cars or vans in household,173
E01003003,1 or more cars or vans in household,485
E01003004,Does not apply,0
E01003004,No cars or vans in household,99
E01003004,1 or more cars or vans in household,510
E01003005,Does not apply,0
E01003005,No cars or vans in household,67
E01003005,1 or more cars or vans in household,513
E01003006,Does not apply,0
E01003006,No cars or vans in household,113
E01003006,1 or more cars or vans in household,484
E01003007,Does not apply,0
E01003007,No cars or vans in household,72
E01003007,1 or more cars or vans in household,486
E01003008,Does not apply,0
E01003008,No cars or vans in household,66
E01003008,1 or more cars or vans in household,442
E01003009,Does not apply,0
E01003009,No cars or vans in household,155
E01003009,1 or more cars or vans in household,621
E01003010,Does not apply,0
E01003010,No cars or vans in household,88
E01003010,1 or more cars or vans in household,442
E01003011,Does not apply,0
E01003011,No cars or vans in household,166
E01003011,1 or more cars or vans in household,536
E01003013,Does not apply,0
E01003013,No cars or vans in household,553
E01003013,1 or more cars or vans in household,167
E01003014,Does not apply,0
E01003014,No cars or vans in household,455
E01003014,1 or more cars or vans in household,183
E01003015,Does not apply,0
E01003015,No cars or vans in household,560
E01003015,1 or more cars or vans in household,242
E01003016,Does not apply,0
E01003016,No cars or vans in household,281
E01003016,1 or more cars or vans in household,142
E01003017,Does not apply,0
E01003017,No cars or vans in household,543
E01003017,1 or more cars or vans in household,226
E01003018,Does not apply,0
E01003018,No cars or vans in household,592
E01003018,1 or more cars or vans in household,341
E01003019,Does not apply,0
E01003019,No cars or vans in household,484
E01003019,1 or more cars or vans in household,404
E01003020,Does not apply,0
E01003020,No cars or vans in household,548
E01003020,1 or more cars or vans in household,280
E01003021,Does not apply,0
E01003021,No cars or vans in household,366
E01003021,1 or more cars or vans in household,269
E01003022,Does not apply,0
E01003022,No cars or vans in household,389
E01003022,1 or more cars or vans in household,345
E01003023,Does not apply,0
E01003023,No cars or vans in household,684
E01003023,1 or more cars or vans in household,420
E01003024,Does not apply,0
E01003024,No cars or vans in household,495
E01003024,1 or more cars or vans in household,290
E01003025,Does not apply,0
E01003025,No cars or vans in household,446
E01003025,1 or more cars or vans in household,403
E01003026,Does not apply,0
E01003026,No cars or vans in household,304
E01003026,1 or more cars or vans in household,321
E01003027,Does not apply,0
E01003027,No cars or vans in household,158
E01003027,1 or more cars or vans in household,360
E01003028,Does not apply,0
E01003028,No cars or vans in household,252
E01003028,1 or more cars or vans in household,347
E01003029,Does not apply,0
E01003029,No cars or vans in household,547
E01003029,1 or more cars or vans in household,348
E01003030,Does not apply,0
E01003030,No cars or vans in household,370
E01003030,1 or more cars or vans in household,376
E01003031,Does not apply,0
E01003031,No cars or vans in household,456
E01003031,1 or more cars or vans in household,255
E01003032,Does not apply,0
E01003032,No cars or vans in household,503
E01003032,1 or more cars or vans in household,310
E01003033,Does not apply,0
E01003033,No cars or vans in household,225
E01003033,1 or more cars or vans in household,364
E01003034,Does not apply,0
E01003034,No cars or vans in household,392
E01003034,1 or more cars or vans in household,305
E01003035,Does not apply,0
E01003035,No cars or vans in household,508
E01003035,1 or more cars or vans in household,258
E01003036,Does not apply,0
E01003036,No cars or vans in household,438
E01003036,1 or more cars or vans in household,318
E01003037,Does not apply,0
E01003037,No cars or vans in household,385
E01003037,1 or more cars or vans in household,211
E01003038,Does not apply,0
E01003038,No cars or vans in household,391
E01003038,1 or more cars or vans in household,382
E01003039,Does not apply,0
E01003039,No cars or vans in household,542
E01003039,1 or more cars or vans in household,419
E01003040,Does not apply,0
E01003040,No cars or vans in household,330
E01003040,1 or more cars or vans in household,262
E01003041,Does not apply,0
E01003041,No cars or vans in household,481
E01003041,1 or more cars or vans in household,197
E01003042,Does not apply,0
E01003042,No cars or vans in household,328
E01003042,1 or more cars or vans in household,177
E01003043,Does not apply,0
E01003043,No cars or vans in household,360
E01003043,1 or more cars or vans in household,313
E01003044,Does not apply,0
E01003044,No cars or vans in household,455
E01003044,1 or more cars or vans in household,231
E01003045,Does not apply,0
E01003045,No cars or vans in household,421
E01003045,1 or more cars or vans in household,280
E01003046,Does not apply,0
E01003046,No cars or vans in household,498
E01003046,1 or more cars or vans in household,244
E01003047,Does not apply,0
E01003047,No cars or vans in household,608
E01003047,1 or more cars or vans in household,212
E01003048,Does not apply,0
E01003048,No cars or vans in household,482
E01003048,1 or more cars or vans in household,256
E01003049,Does not apply,0
E01003049,No cars or vans in household,499
E01003049,1 or more cars or vans in household,255
E01003050,Does not apply,0
E01003050,No cars or vans in household,521
E01003050,1 or more cars or vans in household,234
E01003051,Does not apply,0
E01003051,No cars or vans in household,614
E01003051,1 or more cars or vans in household,266
E01003052,Does not apply,0
E01003052,No cars or vans in household,506
E01003052,1 or more cars or vans in household,279
E01003053,Does not apply,0
E01003053,No cars or vans in household,439
E01003053,1 or more cars or vans in household,304
E01003054,Does not apply,0
E01003054,No cars or vans in household,680
E01003054,1 or more cars or vans in household,324
E01003055,Does not apply,0
E01003055,No cars or vans in household,569
E01003055,1 or more cars or vans in household,259
E01003056,Does not apply,0
E01003056,No cars or vans in household,487
E01003056,1 or more cars or vans in household,282
E01003057,Does not apply,0
E01003057,No cars or vans in household,460
E01003057,1 or more cars or vans in household,261
E01003058,Does not apply,0
E01003058,No cars or vans in household,535
E01003058,1 or more cars or vans in household,322
E01003059,Does not apply,0
E01003059,No cars or vans in household,601
E01003059,1 or more cars or vans in household,273
E01003060,Does not apply,0
E01003060,No cars or vans in household,495
E01003060,1 or more cars or vans in household,193
E01003061,Does not apply,0
E01003061,No cars or vans in household,493
E01003061,1 or more cars or vans in household,155
E01003062,Does not apply,0
E01003062,No cars or vans in household,444
E01003062,1 or more cars or vans in household,417
E01003063,Does not apply,0
E01003063,No cars or vans in household,338
E01003063,1 or more cars or vans in household,263
E01003064,Does not apply,0
E01003064,No cars or vans in household,227
E01003064,1 or more cars or vans in household,397
E01003065,Does not apply,0
E01003065,No cars or vans in household,355
E01003065,1 or more cars or vans in household,329
E01003066,Does not apply,0
E01003066,No cars or vans in household,399
E01003066,1 or more cars or vans in household,408
E01003067,Does not apply,0
E01003067,No cars or vans in household,263
E01003067,1 or more cars or vans in household,370
E01003068,Does not apply,0
E01003068,No cars or vans in household,286
E01003068,1 or more cars or vans in household,358
E01003069,Does not apply,0
E01003069,No cars or vans in household,191
E01003069,1 or more cars or vans in household,330
E01003070,Does not apply,0
E01003070,No cars or vans in household,334
E01003070,1 or more cars or vans in household,326
E01003071,Does not apply,0
E01003071,No cars or vans in household,535
E01003071,1 or more cars or vans in household,469
E01003072,Does not apply,0
E01003072,No cars or vans in household,303
E01003072,1 or more cars or vans in household,401
E01003073,Does not apply,0
E01003073,No cars or vans in household,348
E01003073,1 or more cars or vans in household,313
E01003074,Does not apply,0
E01003074,No cars or vans in household,640
E01003074,1 or more cars or vans in household,453
E01003075,Does not apply,0
E01003075,No cars or vans in household,433
E01003075,1 or more cars or vans in household,240
E01003076,Does not apply,0
E01003076,No cars or vans in household,592
E01003076,1 or more cars or vans in household,371
E01003077,Does not apply,0
E01003077,No cars or vans in household,506
E01003077,1 or more cars or vans in household,284
E01003078,Does not apply,0
E01003078,No cars or vans in household,237
E01003078,1 or more cars or vans in household,385
E01003079,Does not apply,0
E01003079,No cars or vans in household,369
E01003079,1 or more cars or vans in household,363
E01003080,Does not apply,0
E01003080,No cars or vans in household,246
E01003080,1 or more cars or vans in household,429
E01003081,Does not apply,0
E01003081,No cars or vans in household,474
E01003081,1 or more cars or vans in household,345
E01003082,Does not apply,0
E01003082,No cars or vans in household,321
E01003082,1 or more cars or vans in household,311
E01003083,Does not apply,0
E01003083,No cars or vans in household,203
E01003083,1 or more cars or vans in household,372
E01003084,Does not apply,0
E01003084,No cars or vans in household,266
E01003084,1 or more cars or vans in household,369
E01003085,Does not apply,0
E01003085,No cars or vans in household,232
E01003085,1 or more cars or vans in household,460
E01003086,Does not apply,0
E01003086,No cars or vans in household,278
E01003086,1 or more cars or vans in household,346
E01003087,Does not apply,0
E01003087,No cars or vans in household,324
E01003087,1 or more cars or vans in household,280
E01003088,Does not apply,0
E01003088,No cars or vans in household,414
E01003088,1 or more cars or vans in household,243
E01003089,Does not apply,0
E01003089,No cars or vans in household,482
E01003089,1 or more cars or vans in household,255
E01003090,Does not apply,0
E01003090,No cars or vans in household,689
E01003090,1 or more cars or vans in household,415
E01003091,Does not apply,0
E01003091,No cars or vans in household,414
E01003091,1 or more cars or vans in household,264
E01003092,Does not apply,0
E01003092,No cars or vans in household,625
E01003092,1 or more cars or vans in household,325
E01003093,Does not apply,0
E01003093,No cars or vans in household,671
E01003093,1 or more cars or vans in household,284
E01003094,Does not apply,0
E01003094,No cars or vans in household,415
E01003094,1 or more cars or vans in household,242
E01003095,Does not apply,0
E01003095,No cars or vans in household,368
E01003095,1 or more cars or vans in household,325
E01003096,Does not apply,0
E01003096,No cars or vans in household,563
E01003096,1 or more cars or vans in household,296
E01003097,Does not apply,0
E01003097,No cars or vans in household,471
E01003097,1 or more cars or vans in household,217
E01003098,Does not apply,0
E01003098,No cars or vans in household,387
E01003098,1 or more cars or vans in household,263
E01003099,Does not apply,0
E01003099,No cars or vans in household,513
E01003099,1 or more cars or vans in household,246
E01003100,Does not apply,0
E01003100,No cars or vans in household,645
E01003100,1 or more cars or vans in household,246
E01003101,Does not apply,0
E01003101,No cars or vans in household,427
E01003101,1 or more cars or vans in household,210
E01003102,Does not apply,0
E01003102,No cars or vans in household,558
E01003102,1 or more cars or vans in household,224
E01003104,Does not apply,0
E01003104,No cars or vans in household,631
E01003104,1 or more cars or vans in household,237
E01003105,Does not apply,0
E01003105,No cars or vans in household,521
E01003105,1 or more cars or vans in household,227
E01003106,Does not apply,0
E01003106,No cars or vans in household,618
E01003106,1 or more cars or vans in household,354
E01003107,Does not apply,0
E01003107,No cars or vans in household,566
E01003107,1 or more cars or vans in household,318
E01003108,Does not apply,0
E01003108,No cars or vans in household,518
E01003108,1 or more cars or vans in household,194
E01003110,Does not apply,0
E01003110,No cars or vans in household,579
E01003110,1 or more cars or vans in household,345
E01003111,Does not apply,0
E01003111,No cars or vans in household,560
E01003111,1 or more cars or vans in household,243
E01003112,Does not apply,0
E01003112,No cars or vans in household,555
E01003112,1 or more cars or vans in household,258
E01003113,Does not apply,0
E01003113,No cars or vans in household,359
E01003113,1 or more cars or vans in household,382
E01003114,Does not apply,0
E01003114,No cars or vans in household,492
E01003114,1 or more cars or vans in household,512
E01003115,Does not apply,0
E01003115,No cars or vans in household,350
E01003115,1 or more cars or vans in household,318
E01003116,Does not apply,0
E01003116,No cars or vans in household,213
E01003116,1 or more cars or vans in household,422
E01003117,Does not apply,0
E01003117,No cars or vans in household,453
E01003117,1 or more cars or vans in household,369
E01003118,Does not apply,0
E01003118,No cars or vans in household,346
E01003118,1 or more cars or vans in household,355
E01003119,Does not apply,0
E01003119,No cars or vans in household,460
E01003119,1 or more cars or vans in household,390
E01003120,Does not apply,0
E01003120,No cars or vans in household,759
E01003120,1 or more cars or vans in household,353
E01003121,Does not apply,0
E01003121,No cars or vans in household,429
E01003121,1 or more cars or vans in household,208
E01003122,Does not apply,0
E01003122,No cars or vans in household,597
E01003122,1 or more cars or vans in household,298
E01003123,Does not apply,0
E01003123,No cars or vans in household,394
E01003123,1 or more cars or vans in household,306
E01003124,Does not apply,0
E01003124,No cars or vans in household,416
E01003124,1 or more cars or vans in household,194
E01003125,Does not apply,0
E01003125,No cars or vans in household,487
E01003125,1 or more cars or vans in household,210
E01003126,Does not apply,0
E01003126,No cars or vans in household,519
E01003126,1 or more cars or vans in household,197
E01003127,Does not apply,0
E01003127,No cars or vans in household,459
E01003127,1 or more cars or vans in household,334
E01003128,Does not apply,0
E01003128,No cars or vans in household,482
E01003128,1 or more cars or vans in household,232
E01003129,Does not apply,0
E01003129,No cars or vans in household,534
E01003129,1 or more cars or vans in household,261
E01003130,Does not apply,0
E01003130,No cars or vans in household,410
E01003130,1 or more cars or vans in household,373
E01003131,Does not apply,0
E01003131,No cars or vans in household,479
E01003131,1 or more cars or vans in household,468
E01003132,Does not apply,0
E01003132,No cars or vans in household,285
E01003132,1 or more cars or vans in household,253
E01003133,Does not apply,0
E01003133,No cars or vans in household,364
E01003133,1 or more cars or vans in household,345
E01003134,Does not apply,0
E01003134,No cars or vans in household,259
E01003134,1 or more cars or vans in household,363
E01003135,Does not apply,0
E01003135,No cars or vans in household,385
E01003135,1 or more cars or vans in household,370
E01003136,Does not apply,0
E01003136,No cars or vans in household,443
E01003136,1 or more cars or vans in household,305
E01003137,Does not apply,0
E01003137,No cars or vans in household,498
E01003137,1 or more cars or vans in household,253
E01003138,Does not apply,0
E01003138,No cars or vans in household,285
E01003138,1 or more cars or vans in household,364
E01003139,Does not apply,0
E01003139,No cars or vans in household,186
E01003139,1 or more cars or vans in household,352
E01003140,Does not apply,0
E01003140,No cars or vans in household,153
E01003140,1 or more cars or vans in household,341
E01003141,Does not apply,0
E01003141,No cars or vans in household,337
E01003141,1 or more cars or vans in household,403
E01003142,Does not apply,0
E01003142,No cars or vans in household,143
E01003142,1 or more cars or vans in household,310
E01003143,Does not apply,0
E01003143,No cars or vans in household,205
E01003143,1 or more cars or vans in household,305
E01003144,Does not apply,0
E01003144,No cars or vans in household,125
E01003144,1 or more cars or vans in household,399
E01003145,Does not apply,0
E01003145,No cars or vans in household,423
E01003145,1 or more cars or vans in household,325
E01003146,Does not apply,0
E01003146,No cars or vans in household,251
E01003146,1 or more cars or vans in household,298
E01003147,Does not apply,0
E01003147,No cars or vans in household,375
E01003147,1 or more cars or vans in household,424
E01003148,Does not apply,0
E01003148,No cars or vans in household,337
E01003148,1 or more cars or vans in household,423
E01003149,Does not apply,0
E01003149,No cars or vans in household,247
E01003149,1 or more cars or vans in household,448
E01003150,Does not apply,0
E01003150,No cars or vans in household,476
E01003150,1 or more cars or vans in household,361
E01003151,Does not apply,0
E01003151,No cars or vans in household,477
E01003151,1 or more cars or vans in household,338
E01003152,Does not apply,0
E01003152,No cars or vans in household,309
