Lower layer Super Output Areas Code,Economic activity status (4 categories),Observation
E01003267,Economically active: Unemployed (including full-time students),97
E01003267,Economically inactive,494
E01003268,Does not apply,397
E01003268,Economically active: In employment (including full-time students),925
E01003268,Economically active: Unemployed (including full-time students),86
E01003268,Economically inactive,445
E01003269,Does not apply,327
E01003269,Economically active: In employment (including full-time students),793
E01003269,Economically active: Unemployed (including full-time students),57
E01003269,Economically inactive,427
E01003270,Does not apply,273
E01003270,Economically active: In employment (including full-time students),928
E01003270,Economically active: Unemployed (including full-time students),60
E01003270,Economically inactive,384
E01003271,Does not apply,304
E01003271,Economically active: In employment (including full-time students),794
E01003271,Economically active: Unemployed (including full-time students),52
E01003271,Economically inactive,476
E01003272,Does not apply,341
E01003272,Economically active: In employment (including full-time students),1145
E01003272,Economically active: Unemployed (including full-time students),101
E01003272,Economically inactive,407
E01003273,Does not apply,264
E01003273,Economically active: In employment (including full-time students),822
E01003273,Economically active: Unemployed (including full-time students),70
E01003273,Economically inactive,351
E01003274,Does not apply,307
E01003274,Economically active: In employment (including full-time students),907
E01003274,Economically active: Unemployed (including full-time students),55
E01003274,Economically inactive,321
E01003275,Does not apply,330
E01003275,Economically active: In employment (including full-time students),792
E01003275,Economically active: Unemployed (including full-time students),58
E01003275,Economically inactive,518
E01003276,Does not apply,447
E01003276,Economically active: In employment (including full-time students),977
E01003276,Economically active: Unemployed (including full-time students),58
E01003276,Economically inactive,425
E01003277,Does not apply,234
E01003277,Economically active: In employment (including full-time students),1040
E01003277,Economically active: Unemployed (including full-time students),70
E01003277,Economically inactive,330
E01003278,Does not apply,356
E01003278,Economically active: In employment (including full-time students),1101
E01003278,Economically active: Unemployed (including full-time students),119
E01003278,Economically inactive,512
E01003279,Does not apply,290
E01003279,Economically active: In employment (including full-time students),814
E01003279,Economically active: Unemployed (including full-time students),56
E01003279,Economically inactive,370
E01003280,Does not apply,389
E01003280,Economically active: In employment (including full-time students),727
E01003280,Economically active: Unemployed (including full-time students),76
E01003280,Economically inactive,452
E01003281,Does not apply,334
E01003281,Economically active: In employment (including full-time students),728
E01003281,Economically active: Unemployed (including full-time students),42
E01003281,Economically inactive,391
E01003282,Does not apply,363
E01003282,Economically active: In employment (including full-time students),1388
E01003282,Economically active: Unemployed (including full-time students),145
E01003282,Economically inactive,519
E01003283,Does not apply,467
E01003283,Economically active: In employment (including full-time students),1150
E01003283,Economically active: Unemployed (including full-time students),63
E01003283,Economically inactive,445
E01003284,Does not apply,395
E01003284,Economically active: In employment (including full-time students),1019
E01003284,Economically active: Unemployed (including full-time students),63
E01003284,Economically inactive,401
E01003285,Does not apply,367
E01003285,Economically active: In employment (including full-time students),938
E01003285,Economically active: Unemployed (including full-time students),75
E01003285,Economically inactive,371
E01003286,Does not apply,360
E01003286,Economically active: In employment (including full-time students),761
E01003286,Economically active: Unemployed (including full-time students),46
E01003286,Economically inactive,569
E01003287,Does not apply,477
E01003287,Economically active: In employment (including full-time students),1016
E01003287,Economically active: Unemployed (including full-time students),73
E01003287,Economically inactive,403
E01003288,Does not apply,360
E01003288,Economically active: In employment (including full-time students),1076
E01003288,Economically active: Unemployed (including full-time students),91
E01003288,Economically inactive,631
E01003290,Does not apply,322
E01003290,Economically active: In employment (including full-time students),1042
E01003290,Economically active: Unemployed (including full-time students),102
E01003290,Economically inactive,444
E01003291,Does not apply,313
E01003291,Economically active: In employment (including full-time students),704
E01003291,Economically active: Unemployed (including full-time students),68
E01003291,Economically inactive,459
E01003292,Does not apply,344
E01003292,Economically active: In employment (including full-time students),983
E01003292,Economically active: Unemployed (including full-time students),61
E01003292,Economically inactive,403
E01003293,Does not apply,311
E01003293,Economically active: In employment (including full-time students),827
E01003293,Economically active: Unemployed (including full-time students),99
E01003293,Economically inactive,335
E01003295,Does not apply,357
E01003295,Economically active: In employment (including full-time students),910
E01003295,Economically active: Unemployed (including full-time students),67
E01003295,Economically inactive,452
E01003297,Does not apply,300
E01003297,Economically active: In employment (including full-time students),950
E01003297,Economically active: Unemployed (including full-time students),139
E01003297,Economically inactive,313
E01003298,Does not apply,245
E01003298,Economically active: In employment (including full-time students),617
E01003298,Economically active: Unemployed (including full-time students),81
E01003298,Economically inactive,341
E01003299,Does not apply,262
E01003299,Economically active: In employment (including full-time students),980
E01003299,Economically active: Unemployed (including full-time students),121
E01003299,Economically inactive,427
E01003300,Does not apply,299
E01003300,Economically active: In employment (including full-time students),702
E01003300,Economically active: Unemployed (including full-time students),80
E01003300,Economically inactive,403
E01003301,Does not apply,412
E01003301,Economically active: In employment (including full-time students),1409
E01003301,Economically active: Unemployed (including full-time students),168
E01003301,Economically inactive,643
E01003302,Does not apply,372
E01003302,Economically active: In employment (including full-time students),936
E01003302,Economically active: Unemployed (including full-time students),114
E01003302,Economically inactive,445
E01003303,Does not apply,258
E01003303,Economically active: In employment (including full-time students),888
E01003303,Economically active: Unemployed (including full-time students),111
E01003303,Economically inactive,462
E01003304,Does not apply,329
E01003304,Economically active: In employment (including full-time students),1324
E01003304,Economically active: Unemployed (including full-time students),120
E01003304,Economically inactive,473
E01003305,Does not apply,539
E01003305,Economically active: In employment (including full-time students),1085
E01003305,Economically active: Unemployed (including full-time students),133
E01003305,Economically inactive,536
E01003307,Does not apply,309
E01003307,Economically active: In employment (including full-time students),866
E01003307,Economically active: Unemployed (including full-time students),69
E01003307,Economically inactive,356
E01003308,Does not apply,356
E01003308,Economically active: In employment (including full-time students),949
E01003308,Economically active: Unemployed (including full-time students),58
E01003308,Economically inactive,426
E01003309,Does not apply,368
E01003309,Economically active: In employment (including full-time students),752
E01003309,Economically active: Unemployed (including full-time students),113
E01003309,Economically inactive,387
E01003310,Does not apply,251
E01003310,Economically active: In employment (including full-time students),918
E01003310,Economically active: Unemployed (including full-time students),63
E01003310,Economically inactive,358
E01003311,Does not apply,354
E01003311,Economically active: In employment (including full-time students),784
E01003311,Economically active: Unemployed (including full-time students),41
E01003311,Economically inactive,416
E01003312,Does not apply,360
E01003312,Economically active: In employment (including full-time students),916
E01003312,Economically active: Unemployed (including full-time students),61
E01003312,Economically inactive,419
E01003313,Does not apply,392
E01003313,Economically active: In employment (including full-time students),748
E01003313,Economically active: Unemployed (including full-time students),77
E01003313,Economically inactive,354
E01003314,Does not apply,408
E01003314,Economically active: In employment (including full-time students),915
E01003314,Economically active: Unemployed (including full-time students),46
E01003314,Economically inactive,276
E01003315,Does not apply,220
E01003315,Economically active: In employment (including full-time students),767
E01003315,Economically active: Unemployed (including full-time students),56
E01003315,Economically inactive,263
E01003316,Does not apply,278
E01003316,Economically active: In employment (including full-time students),863
E01003316,Economically active: Unemployed (including full-time students),52
E01003316,Economically inactive,284
E01003318,Does not apply,396
E01003318,Economically active: In employment (including full-time students),948
E01003318,Economically active: Unemployed (including full-time students),110
E01003318,Economically inactive,619
E01003319,Does not apply,351
E01003319,Economically active: In employment (including full-time students),867
E01003319,Economically active: Unemployed (including full-time students),74
E01003319,Economically inactive,502
E01003320,Does not apply,302
E01003320,Economically active: In employment (including full-time students),834
E01003320,Economically active: Unemployed (including full-time students),63
E01003320,Economically inactive,387
E01003321,Does not apply,322
E01003321,Economically active: In employment (including full-time students),934
E01003321,Economically active: Unemployed (including full-time students),74
E01003321,Economically inactive,416
E01003322,Does not apply,289
E01003322,Economically active: In employment (including full-time students),902
E01003322,Economically active: Unemployed (including full-time students),92
E01003322,Economically inactive,352
E01003323,Does not apply,263
E01003323,Economically active: In employment (including full-time students),797
E01003323,Economically active: Unemployed (including full-time students),74
E01003323,Economically inactive,376
E01003324,Does not apply,402
E01003324,Economically active: In employment (including full-time students),773
E01003324,Economically active: Unemployed (including full-time students),89
E01003324,Economically inactive,424
E01003325,Does not apply,402
E01003325,Economically active: In employment (including full-time students),912
E01003325,Economically active: Unemployed (including full-time students),61
E01003325,Economically inactive,441
E01003326,Does not apply,442
E01003326,Economically active: In employment (including full-time students),864
E01003326,Economically active: Unemployed (including full-time students),60
E01003326,Economically inactive,448
E01003327,Does not apply,295
E01003327,Economically active: In employment (including full-time students),889
E01003327,Economically active: Unemployed (including full-time students),58
E01003327,Economically inactive,390
E01003328,Does not apply,288
E01003328,Economically active: In employment (including full-time students),991
E01003328,Economically active: Unemployed (including full-time students),67
E01003328,Economically inactive,427
E01003329,Does not apply,346
E01003329,Economically active: In employment (including full-time students),881
E01003329,Economically active: Unemployed (including full-time students),57
E01003329,Economically inactive,357
E01003330,Does not apply,401
E01003330,Economically active: In employment (including full-time students),713
E01003330,Economically active: Unemployed (including full-time students),62
E01003330,Economically inactive,415
E01003331,Does not apply,285
E01003331,Economically active: In employment (including full-time students),673
E01003331,Economically active: Unemployed (including full-time students),51
E01003331,Economically inactive,513
E01003332,Does not apply,319
E01003332,Economically active: In employment (including full-time students),801
E01003332,Economically active: Unemployed (including full-time students),64
E01003332,Economically inactive,408
E01003333,Does not apply,293
E01003333,Economically active: In employment (including full-time students),786
E01003333,Economically active: Unemployed (including full-time students),96
E01003333,Economically inactive,362
E01003334,Does not apply,320
E01003334,Economically active: In employment (including full-time students),987
E01003334,Economically active: Unemployed (including full-time students),98
E01003334,Economically inactive,380
E01003335,Does not apply,330
E01003335,Economically active: In employment (including full-time students),699
E01003335,Economically active: Unemployed (including full-time students),59
E01003335,Economically inactive,426
E01003336,Does not apply,350
E01003336,Economically active: In employment (including full-time students),710
E01003336,Economically active: Unemployed (including full-time students),71
E01003336,Economically inactive,401
E01003337,Does not apply,339
E01003337,Economically active: In employment (including full-time students),615
E01003337,Economically active: Unemployed (including full-time students),73
E01003337,Economically inactive,405
E01003338,Does not apply,372
E01003338,Economically active: In employment (including full-time students),964
E01003338,Economically active: Unemployed (including full-time students),146
E01003338,Economically inactive,545
E01003339,Does not apply,276
E01003339,Economically active: In employment (including full-time students),925
E01003339,Economically active: Unemployed (including full-time students),92
E01003339,Economically inactive,397
E01003340,Does not apply,228
E01003340,Economically active: In employment (including full-time students),1317
E01003340,Economically active: Unemployed (including full-time students),129
E01003340,Economically inactive,392
E01003341,Does not apply,207
E01003341,Economically active: In employment (including full-time students),804
E01003341,Economically active: Unemployed (including full-time students),54
E01003341,Economically inactive,318
E01003342,Does not apply,323
E01003342,Economically active: In employment (including full-time students),1011
E01003342,Economically active: Unemployed (including full-time students),71
E01003342,Economically inactive,291
E01003343,Does not apply,244
E01003343,Economically active: In employment (including full-time students),802
E01003343,Economically active: Unemployed (including full-time students),57
E01003343,Economically inactive,348
E01003344,Does not apply,275
E01003344,Economically active: In employment (including full-time students),937
E01003344,Economically active: Unemployed (including full-time students),91
E01003344,Economically inactive,371
E01003345,Does not apply,409
E01003345,Economically active: In employment (including full-time students),1137
E01003345,Economically active: Unemployed (including full-time students),72
E01003345,Economically inactive,342
E01003346,Does not apply,310
E01003346,Economically active: In employment (including full-time students),765
E01003346,Economically active: Unemployed (including full-time students),72
E01003346,Economically inactive,522
E01003347,Does not apply,507
E01003347,Economically active: In employment (including full-time students),611
E01003347,Economically active: Unemployed (including full-time students),134
E01003347,Economically inactive,497
E01003348,Does not apply,391
E01003348,Economically active: In employment (including full-time students),818
E01003348,Economically active: Unemployed (including full-time students),80
E01003348,Economically inactive,499
E01003349,Does not apply,408
E01003349,Economically active: In employment (including full-time students),671
E01003349,Economically active: Unemployed (including full-time students),79
E01003349,Economically inactive,388
E01003350,Does not apply,267
E01003350,Economically active: In employment (including full-time students),580
E01003350,Economically active: Unemployed (including full-time students),60
E01003350,Economically inactive,412
E01003351,Does not apply,426
E01003351,Economically active: In employment (including full-time students),709
E01003351,Economically active: Unemployed (including full-time students),62
E01003351,Economically inactive,493
E01003352,Does not apply,555
E01003352,Economically active: In employment (including full-time students),938
E01003352,Economically active: Unemployed (including full-time students),108
E01003352,Economically inactive,687
E01003353,Does not apply,376
E01003353,Economically active: In employment (including full-time students),890
E01003353,Economically active: Unemployed (including full-time students),53
E01003353,Economically inactive,465
E01003354,Does not apply,485
E01003354,Economically active: In employment (including full-time students),991
E01003354,Economically active: Unemployed (including full-time students),89
E01003354,Economically inactive,492
E01003355,Does not apply,248
E01003355,Economically active: In employment (including full-time students),1205
E01003355,Economically active: Unemployed (including full-time students),43
E01003355,Economically inactive,272
E01003356,Does not apply,371
E01003356,Economically active: In employment (including full-time students),1067
E01003356,Economically active: Unemployed (including full-time students),44
E01003356,Economically inactive,356
E01003357,Does not apply,451
E01003357,Economically active: In employment (including full-time students),833
E01003357,Economically active: Unemployed (including full-time students),68
E01003357,Economically inactive,515
E01003358,Does not apply,287
E01003358,Economically active: In employment (including full-time students),1136
E01003358,Economically active: Unemployed (including full-time students),61
E01003358,Economically inactive,308
E01003359,Does not apply,283
E01003359,Economically active: In employment (including full-time students),1014
E01003359,Economically active: Unemployed (including full-time students),57
E01003359,Economically inactive,395
E01003360,Does not apply,325
E01003360,Economically active: In employment (including full-time students),1165
E01003360,Economically active: Unemployed (including full-time students),53
E01003360,Economically inactive,246
E01003361,Does not apply,341
E01003361,Economically active: In employment (including full-time students),871
E01003361,Economically active: Unemployed (including full-time students),55
E01003361,Economically inactive,403
E01003362,Does not apply,255
E01003362,Economically active: In employment (including full-time students),690
E01003362,Economically active: Unemployed (including full-time students),42
E01003362,Economically inactive,394
E01003363,Does not apply,373
E01003363,Economically active: In employment (including full-time students),842
E01003363,Economically active: Unemployed (including full-time students),37
E01003363,Economically inactive,446
E01003364,Does not apply,358
E01003364,Economically active: In employment (including full-time students),875
E01003364,Economically active: Unemployed (including full-time students),42
E01003364,Economically inactive,542
E01003365,Does not apply,295
E01003365,Economically active: In employment (including full-time students),697
E01003365,Economically active: Unemployed (including full-time students),32
E01003365,Economically inactive,462
E01003366,Does not apply,305
E01003366,Economically active: In employment (including full-time students),942
E01003366,Economically active: Unemployed (including full-time students),64
E01003366,Economically inactive,425
E01003368,Does not apply,278
E01003368,Economically active: In employment (including full-time students),931
E01003368,Economically active: Unemployed (including full-time students),54
E01003368,Economically inactive,410
E01003369,Does not apply,222
E01003369,Economically active: In employment (including full-time students),1079
E01003369,Economically active: Unemployed (including full-time students),58
E01003369,Economically inactive,282
E01003370,Does not apply,303
E01003370,Economically active: In employment (including full-time students),1245
E01003370,Economically active: Unemployed (including full-time students),77
E01003370,Economically inactive,367
E01003371,Does not apply,185
E01003371,Economically active: In employment (including full-time students),930
E01003371,Economically active: Unemployed (including full-time students),62
E01003371,Economically inactive,375
E01003372,Does not apply,320
E01003372,Economically active: In employment (including full-time students),919
E01003372,Economically active: Unemployed (including full-time students),93
E01003372,Economically inactive,373
E01003373,Does not apply,375
E01003373,Economically active: In employment (including full-time students),661
E01003373,Economically active: Unemployed (including full-time students),75
E01003373,Economically inactive,441
E01003374,Does not apply,384
E01003374,Economically active: In employment (including full-time students),828
E01003374,Economically active: Unemployed (including full-time students),60
E01003374,Economically inactive,539
E01003375,Does not apply,336
E01003375,Economically active: In employment (including full-time students),816
E01003375,Economically active: Unemployed (including full-time students),73
E01003375,Economically inactive,553
E01003376,Does not apply,316
E01003376,Economically active: In employment (including full-time students),767
E01003376,Economically active: Unemployed (including full-time students),53
E01003376,Economically inactive,435
E01003377,Does not apply,373
E01003377,Economically active: In employment (including full-time students),708
E01003377,Economically active: Unemployed (including full-time students),89
E01003377,Economically inactive,470
E01003378,Does not apply,512
E01003378,Economically active: In employment (including full-time students),1132
E01003378,Economically active: Unemployed (including full-time students),61
E01003378,Economically inactive,535
E01003379,Does not apply,492
E01003379,Economically active: In employment (including full-time students),884
E01003379,Economically active: Unemployed (including full-time students),62
E01003379,Economically inactive,590
E01003380,Does not apply,415
E01003380,Economically active: In employment (including full-time students),935
E01003380,Economically active: Unemployed (including full-time students),44
E01003380,Economically inactive,351
E01003381,Does not apply,274
E01003381,Economically active: In employment (including full-time students),983
E01003381,Economically active: Unemployed (including full-time students),31
E01003381,Economically inactive,282
E01003382,Does not apply,389
E01003382,Economically active: In employment (including full-time students),1043
E01003382,Economically active: Unemployed (including full-time students),42
E01003382,Economically inactive,309
E01003383,Does not apply,320
E01003383,Economically active: In employment (including full-time students),1021
E01003383,Economically active: Unemployed (including full-time students),45
E01003383,Economically inactive,263
E01003384,Does not apply,336
E01003384,Economically active: In employment (including full-time students),995
E01003384,Economically active: Unemployed (including full-time students),46
E01003384,Economically inactive,305
E01003385,Does not apply,419
E01003385,Economically active: In employment (including full-time students),826
E01003385,Economically active: Unemployed (including full-time students),34
E01003385,Economically inactive,356
E01003386,Does not apply,506
E01003386,Economically active: In employment (including full-time students),1156
E01003386,Economically active: Unemployed (including full-time students),95
E01003386,Economically inactive,514
E01003387,Does not apply,460
E01003387,Economically active: In employment (including full-time students),1013
E01003387,Economically active: Unemployed (including full-time students),81
E01003387,Economically inactive,531
E01003388,Does not apply,339
E01003388,Economically active: In employment (including full-time students),840
E01003388,Economically active: Unemployed (including full-time students),53
E01003388,Economically inactive,493
E01003389,Does not apply,354
E01003389,Economically active: In employment (including full-time students),907
E01003389,Economically active: Unemployed (including full-time students),55
E01003389,Economically inactive,480
E01003390,Does not apply,465
E01003390,Economically active: In employment (including full-time students),803
E01003390,Economically active: Unemployed (including full-time students),70
E01003390,Economically inactive,449
E01003391,Does not apply,350
E01003391,Economically active: In employment (including full-time students),500
E01003391,Economically active: Unemployed (including full-time students),77
E01003391,Economically inactive,395
E01003392,Does not apply,250
E01003392,Economically active: In employment (including full-time students),733
E01003392,Economically active: Unemployed (including full-time students),79
E01003392,Economically inactive,356
E01003393,Does not apply,293
E01003393,Economically active: In employment (including full-time students),964
E01003393,Economically active: Unemployed (including full-time students),63
E01003393,Economically inactive,300
E01003394,Does not apply,358
E01003394,Economically active: In employment (including full-time students),1106
E01003394,Economically active: Unemployed (including full-time students),75
E01003394,Economically inactive,525
E01003395,Does not apply,294
E01003395,Economically active: In employment (including full-time students),813
E01003395,Economically active: Unemployed (including full-time students),61
E01003395,Economically inactive,468
E01003396,Does not apply,277
E01003396,Economically active: In employment (including full-time students),836
E01003396,Economically active: Unemployed (including full-time students),33
E01003396,Economically inactive,362
E01003397,Does not apply,232
E01003397,Economically active: In employment (including full-time students),812
E01003397,Economically active: Unemployed (including full-time students),53
E01003397,Economically inactive,425
E01003398,Does not apply,350
E01003398,Economically active: In employment (including full-time students),998
E01003398,Economically active: Unemployed (including full-time students),66
E01003398,Economically inactive,497
E01003399,Does not apply,204
E01003399,Economically active: In employment (including full-time students),861
E01003399,Economically active: Unemployed (including full-time students),42
E01003399,Economically inactive,297
E01003400,Does not apply,247
E01003400,Economically active: In employment (including full-time students),896
E01003400,Economically active: Unemployed (including full-time students),37
E01003400,Economically inactive,281
E01003401,Does not apply,262
E01003401,Economically active: In employment (including full-time students),793
E01003401,Economically active: Unemployed (including full-time students),28
E01003401,Economically inactive,328
E01003402,Does not apply,273
E01003402,Economically active: In employment (including full-time students),761
E01003402,Economically active: Unemployed (including full-time students),45
E01003402,Economically inactive,409
E01003403,Does not apply,220
E01003403,Economically active: In employment (including full-time students),786
E01003403,Economically active: Unemployed (including full-time students),26
E01003403,Economically inactive,450
E01003404,Does not apply,259
E01003404,Economically active: In employment (including full-time students),1041
E01003404,Economically active: Unemployed (including full-time students),56
E01003404,Economically inactive,476
E01003405,Does not apply,539
E01003405,Economically active: In employment (including full-time students),1198
E01003405,Economically active: Unemployed (including full-time students),98
E01003405,Economically inactive,597
E01003406,Does not apply,290
E01003406,Economically active: In employment (including full-time students),943
E01003406,Economically active: Unemployed (including full-time students),77
E01003406,Economically inactive,379
E01003407,Does not apply,376
E01003407,Economically active: In employment (including full-time students),1141
E01003407,Economically active: Unemployed (including full-time students),82
E01003407,Economically inactive,346
E01003408,Does not apply,331
E01003408,Economically active: In employment (including full-time students),1204
E01003408,Economically active: Unemployed (including full-time students),59
E01003408,Economically inactive,354
E01003409,Does not apply,345
E01003409,Economically active: In employment (including full-time students),894
E01003409,Economically active: Unemployed (including full-time students),80
E01003409,Economically inactive,481
E01003410,Does not apply,325
E01003410,Economically active: In employment (including full-time students),811
E01003410,Economically active: Unemployed (including full-time students),88
E01003410,Economically inactive,413
E01003411,Does not apply,509
E01003411,Economically active: In employment (including full-time students),973
E01003411,Economically active: Unemployed (including full-time students),73
E01003411,Economically inactive,481
E01003412,Does not apply,368
E01003412,Economically active: In employment (including full-time students),863
E01003412,Economically active: Unemployed (including full-time students),79
E01003412,Economically inactive,444
E01003413,Does not apply,460
E01003413,Economically active: In employment (including full-time students),1086
E01003413,Economically active: Unemployed (including full-time students),69
E01003413,Economically inactive,469
E01003414,Does not apply,293
E01003414,Economically active: In employment (including full-time students),804
E01003414,Economically active: Unemployed (including full-time students),55
E01003414,Economically inactive,570
E01003415,Does not apply,511
E01003415,Economically active: In employment (including full-time students),1219
E01003415,Economically active: Unemployed (including full-time students),102
E01003415,Economically inactive,558
E01003416,Does not apply,243
E01003416,Economically active: In employment (including full-time students),863
E01003416,Economically active: Unemployed (including full-time students),53
E01003416,Economically inactive,428
E01003417,Does not apply,325
E01003417,Economically active: In employment (including full-time students),810
E01003417,Economically active: Unemployed (including full-time students),28
E01003417,Economically inactive,427
E01003418,Does not apply,227
E01003418,Economically active: In employment (including full-time students),763
E01003418,Economically active: Unemployed (including full-time students),38
E01003418,Economically inactive,417
E01003419,Does not apply,378
E01003419,Economically active: In employment (including full-time students),914
E01003419,Economically active: Unemployed (including full-time students),55
E01003419,Economically inactive,477
E01003420,Does not apply,313
E01003420,Economically active: In employment (including full-time students),772
E01003420,Economically active: Unemployed (including full-time students),39
E01003420,Economically inactive,359
E01003421,Does not apply,292
E01003421,Economically active: In employment (including full-time students),814
E01003421,Economically active: Unemployed (including full-time students),51
E01003421,Economically inactive,436
E01003422,Does not apply,263
E01003422,Economically active: In employment (including full-time students),703
E01003422,Economically active: Unemployed (including full-time students),35
E01003422,Economically inactive,465
E01003423,Does not apply,342
E01003423,Economically active: In employment (including full-time students),831
E01003423,Economically active: Unemployed (including full-time students),60
E01003423,Economically inactive,410
E01003424,Does not apply,306
E01003424,Economically active: In employment (including full-time students),719
E01003424,Economically active: Unemployed (including full-time students),30
E01003424,Economically inactive,479
E01003425,Does not apply,326
E01003425,Economically active: In employment (including full-time students),732
E01003425,Economically active: Unemployed (including full-time students),20
E01003425,Economically inactive,410
E01003426,Does not apply,298
E01003426,Economically active: In employment (including full-time students),907
E01003426,Economically active: Unemployed (including full-time students),42
E01003426,Economically inactive,509
E01003427,Does not apply,402
E01003427,Economically active: In employment (including full-time students),1012
E01003427,Economically active: Unemployed (including full-time students),73
E01003427,Economically inactive,489
E01003428,Does not apply,312
E01003428,Economically active: In employment (including full-time students),730
E01003428,Economically active: Unemployed (including full-time students),38
E01003428,Economically inactive,435
E01003429,Does not apply,326
E01003429,Economically active: In employment (including full-time students),846
E01003429,Economically active: Unemployed (including full-time students),58
E01003429,Economically inactive,399
E01003430,Does not apply,392
E01003430,Economically active: In employment (including full-time students),751
E01003430,Economically active: Unemployed (including full-time students),86
E01003430,Economically inactive,446
E01003431,Does not apply,393
E01003431,Economically active: In employment (including full-time students),759
E01003431,Economically active: Unemployed (including full-time students),83
E01003431,Economically inactive,467
E01003432,Does not apply,409
E01003432,Economically active: In employment (including full-time students),731
E01003432,Economically active: Unemployed (including full-time students),69
E01003432,Economically inactive,496
E01003433,Does not apply,291
E01003433,Economically active: In employment (including full-time students),757
E01003433,Economically active: Unemployed (including full-time students),67
E01003433,Economically inactive,480
E01003434,Does not apply,301
E01003434,Economically active: In employment (including full-time students),756
E01003434,Economically active: Unemployed (including full-time students),53
E01003434,Economically inactive,434
E01003435,Does not apply,510
E01003435,Economically active: In employment (including full-time students),1005
E01003435,Economically active: Unemployed (including full-time students),78
E01003435,Economically inactive,532
E01003436,Does not apply,371
E01003436,Economically active: In employment (including full-time students),835
E01003436,Economically active: Unemployed (including full-time students),67
E01003436,Economically inactive,470
E01003437,Does not apply,344
E01003437,Economically active: In employment (including full-time students),1033
E01003437,Economically active: Unemployed (including full-time students),61
E01003437,Economically inactive,594
E01003438,Does not apply,389
E01003438,Economically active: In employment (including full-time students),881
E01003438,Economically active: Unemployed (including full-time students),48
E01003438,Economically inactive,509
E01003439,Does not apply,319
E01003439,Economically active: In employment (including full-time students),824
E01003439,Economically active: Unemployed (including full-time students),55
E01003439,Economically inactive,392
E01003440,Does not apply,362
E01003440,Economically active: In employment (including full-time students),777
E01003440,Economically active: Unemployed (including full-time students),63
E01003440,Economically inactive,466
E01003441,Does not apply,382
E01003441,Economically active: In employment (including full-time students),887
E01003441,Economically active: Unemployed (including full-time students),84
E01003441,Economically inactive,545
E01003442,Does not apply,326
E01003442,Economically active: In employment (including full-time students),772
E01003442,Economically active: Unemployed (including full-time students),31
E01003442,Economically inactive,552
E01003443,Does not apply,401
E01003443,Economically active: In employment (including full-time students),769
E01003443,Economically active: Unemployed (including full-time students),34
E01003443,Economically inactive,426
E01003444,Does not apply,322
E01003444,Economically active: In employment (including full-time students),828
E01003444,Economically active: Unemployed (including full-time students),43
E01003444,Economically inactive,416
E01003445,Does not apply,390
E01003445,Economically active: In employment (including full-time students),912
E01003445,Economically active: Unemployed (including full-time students),44
E01003445,Economically inactive,465
E01003446,Does not apply,332
E01003446,Economically active: In employment (including full-time students),1118
E01003446,Economically active: Unemployed (including full-time students),65
E01003446,Economically inactive,452
E01003447,Does not apply,318
E01003447,Economically active: In employment (including full-time students),823
E01003447,Economically active: Unemployed (including full-time students),64
E01003447,Economically inactive,403
E01003448,Does not apply,467
E01003448,Economically active: In employment (including full-time students),1240
E01003448,Economically active: Unemployed (including full-time students),76
E01003448,Economically inactive,518
E01003449,Does not apply,350
E01003449,Economically active: In employment (including full-time students),927
E01003449,Economically active: Unemployed (including full-time students),62
E01003449,Economically inactive,534
E01003450,Does not apply,422
E01003450,Economically active: In employment (including full-time students),827
E01003450,Economically active: Unemployed (including full-time students),55
E01003450,Economically inactive,494
E01003451,Does not apply,378
E01003451,Economically active: In employment (including full-time students),930
E01003451,Economically active: Unemployed (including full-time students),55
E01003451,Economically inactive,582
E01003452,Does not apply,478
E01003452,Economically active: In employment (including full-time students),1024
E01003452,Economically active: Unemployed (including full-time students),86
E01003452,Economically inactive,638
E01003453,Does not apply,356
E01003453,Economically active: In employment (including full-time students),918
E01003453,Economically active: Unemployed (including full-time students),65
E01003453,Economically inactive,498
E01003454,Does not apply,223
E01003454,Economically active: In employment (including full-time students),781
E01003454,Economically active: Unemployed (including full-time students),20
E01003454,Economically inactive,338
E01003455,Does not apply,293
E01003455,Economically active: In employment (including full-time students),1099
E01003455,Economically active: Unemployed (including full-time students),44
E01003455,Economically inactive,236
E01003456,Does not apply,246
E01003456,Economically active: In employment (including full-time students),962
E01003456,Economically active: Unemployed (including full-time students),69
E01003456,Economically inactive,323
E01003457,Does not apply,407
E01003457,Economically active: In employment (including full-time students),879
E01003457,Economically active: Unemployed (including full-time students),40
E01003457,Economically inactive,303
E01003458,Does not apply,355
E01003458,Economically active: In employment (including full-time students),1079
E01003458,Economically active: Unemployed (including full-time students),34
E01003458,Economically inactive,289
E01003459,Does not apply,389
E01003459,Economically active: In employment (including full-time students),1265
E01003459,Economically active: Unemployed (including full-time students),69
E01003459,Economically inactive,459
E01003460,Does not apply,208
E01003460,Economically active: In employment (including full-time students),625
E01003460,Economically active: Unemployed (including full-time students),28
E01003460,Economically inactive,544
E01003461,Does not apply,176
E01003461,Economically active: In employment (including full-time students),827
E01003461,Economically active: Unemployed (including full-time students),23
E01003461,Economically inactive,422
E01003462,Does not apply,269
E01003462,Economically active: In employment (including full-time students),599
E01003462,Economically active: Unemployed (including full-time students),36
E01003462,Economically inactive,515
E01003463,Does not apply,331
E01003463,Economically active: In employment (including full-time students),673
E01003463,Economically active: Unemployed (including full-time students),16
E01003463,Economically inactive,485
E01003464,Does not apply,231
